174,1446,229,770,176,1099,711,1934,1964,1291,2704,1707,2799,1046,,,,,,,,,,,,,,,,,,,,,289,1077,50,1182,240,1213,124,1429,104,1695,654,1905,2152,1891,
693,1658,479,1040,602,1256,1495,1718,,,,,,,,,,,,,1144,654,1041,735,707,823,899,728,883,819,714,864,835,1163,423,1225,464,1308,639,1485,662,1662,1021,1767,1561,1839,2410,1481,
1058,1229,975,790,1045,1029,,,,,,,1888,1050,1981,836,,,,,,,,,1270,852,1453,753,1414,823,1336,832,1404,1165,1066,1085,1049,1120,1109,1114,1078,1215,1266,1356,,,,,
,,,,,,,,1274,1678,1901,1736,2389,1258,2638,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1464,1608,
153,1369,205,700,159,1013,701,1833,1975,1794,2725,1623,2803,957,2770,582,,,,,,,,,,,,,,,,,,,264,970,38,1079,207,1128,81,1338,79,1563,641,1800,2158,1800,
678,1588,454,947,588,1153,1484,1617,2171,1349,,,,,,,,,,,1136,580,1023,650,683,745,887,640,870,737,695,768,833,1075,402,1122,446,1188,610,1396,639,1573,1006,1617,1579,1755,2430,1388,
1047,1153,948,714,1041,943,,,1262,1598,,,1886,970,1983,743,,,,,,,,,1262,770,1447,671,1404,747,1332,741,1404,1083,1062,992,1045,1105,1105,1036,1070,1112,1266,1246,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1466,1510,
341,1157,353,564,369,815,835,1437,1845,1446,2500,1299,,,,,,,,,,,,,,,,,,,,,,,425,792,262,838,394,951,281,1116,386,1196,872,1402,2072,1417,
600,1266,483,669,575,875,1225,1361,1956,1235,,,,,,,2061,597,1610,353,1332,403,,,841,516,1051,426,1039,529,850,520,996,885,495,844,458,881,582,1062,559,1217,825,1205,1328,1382,2220,1240,
796,1054,726,562,800,772,,,,,,,,,2210,512,,,1752,417,,,,,1130,520,1317,430,1288,527,1165,504,1268,885,819,790,769,805,843,900,784,1000,975,1050,1286,1134,,,
,,,,,,738,1227,1497,1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,1139,1727,1301,
,,,,,,553,1254,1402,1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,739,400,867,404,1038,664,1141,1622,1392,
,,,,,,,,,,,,,,2280,656,2300,621,1888,388,1643,403,,,1175,446,1385,378,1348,481,1175,446,1313,869,,,,,747,836,650,953,,,,,,,
847,827,895,401,905,685,,,,,,,2008,902,2661,704,2403,687,2072,461,1886,452,1719,494,1460,452,1659,378,1606,481,1472,430,1577,860,1058,722,915,728,967,695,856,786,922,935,,,,,
,,,,,,,,1089,1384,1697,1446,2284,986,,,2737,665,2319,413,2037,368,,,1519,360,1727,302,,,,,,,,,,,,,,,,,,,1315,1270,
378,770,503,261,495,520,516,1052,1381,1277,2154,1233,2539,691,2756,360,,,,,,,,,,,,,,,1173,189,,,660,541,437,553,505,568,353,695,367,788,650,928,1635,1192,
637,838,635,345,691,562,897,984,1552,1073,,,,,,,2298,444,1896,203,1647,222,1478,285,1161,279,1365,191,1334,310,1163,265,1288,691,761,568,468,578,703,665,613,757,744,776,1072,912,1818,1019,
817,679,862,257,895,502,,,,,,,2006,704,2290,448,2420,475,2080,265,1903,275,1709,318,1451,287,1651,201,1593,302,1470,248,1563,683,1043,529,899,531,938,522,827,607,903,691,1064,710,,,
,,,,,,462,877,1058,1198,1709,1237,2300,774,2688,483,2743,459,2333,222,2055,195,1872,271,1513,176,1723,118,1668,246,1457,164,,,,,,,,,,,,,670,722,1207,1087,
